demandID,pathID,originID,dest1,arc1,arc1_type,arc1_dist,dest2,arc2,arc2_type,arc2_dist,dest3,arc3,arc3_type,arc3_dist,finalDest,varCost,wgt,pathDist,arcs,directDist,sales,cogs,fixedTT,current_ODT,transitMode,w_hat,dirMode,dirCost,dirFreq
8737,1,1,31330,2,VND->LMD,1544.5,0,0,0,0.0,0,0,0,0.0,31330,0.0,53.0,1544.5,1,1544.5,278.95,132.2,4.5,9.0,LTL,4.5,1.0,180.49,1.0
8737,2,1,1001,150,VND->FC,68.2,31330,160,FC->LMD,1492.6,0,0,0,0.0,31330,0.02,53.0,1560.8,2,1544.5,278.95,132.2,4.0,9.0,LTL,5.0,0.0,0.0,0.0
8737,3,1,1005,782,VND->FC,1737.0,31330,792,FC->LMD,204.3,0,0,0,0.0,31330,0.02,53.0,1941.3,2,1544.5,278.95,132.2,4.2,9.0,LTL,4.8,0.0,0.0,0.0
8737,4,1,1001,150,VND->FC,68.2,31330,160,FC->LMD,1492.6,0,0,0,0.0,31330,0.02,53.0,1560.8,2,1544.5,278.95,132.2,3.2,9.0,TL,5.8,0.0,0.0,0.0
8737,5,1,1005,782,VND->FC,1737.0,31330,792,FC->LMD,204.3,0,0,0,0.0,31330,0.02,53.0,1941.3,2,1544.5,278.95,132.2,3.7,9.0,TL,5.3,0.0,0.0,0.0
8737,6,1,1001,150,VND->FC,68.2,1005,155,FC->FC,1683.2,31330,792,FC->LMD,204.3,31330,0.04,53.0,1955.7,3,1544.5,278.95,132.2,4.6,9.0,LTL,4.4,0.0,0.0,0.0
8737,7,1,1001,150,VND->FC,68.2,1005,155,FC->FC,1683.2,31330,792,FC->LMD,204.3,31330,0.04,53.0,1955.7,3,1544.5,278.95,132.2,4.1,9.0,TL,4.9,0.0,0.0,0.0
8738,8,1,31332,4,VND->LMD,1728.1,0,0,0,0.0,0,0,0,0.0,31332,0.0,270.0,1728.1,1,1728.1,710.53,422.93,4.5,9.0,LTL,4.5,1.0,395.69,1.0
8738,9,1,1001,150,VND->FC,68.2,31332,162,FC->LMD,1679.2,0,0,0,0.0,31332,0.02,270.0,1747.4,2,1728.1,710.53,422.93,5.0,9.0,LTL,4.0,0.0,0.0,0.0
8738,10,1,1005,782,VND->FC,1737.0,31332,794,FC->LMD,183.9,0,0,0,0.0,31332,0.02,270.0,1920.9,2,1728.1,710.53,422.93,4.2,9.0,LTL,4.8,0.0,0.0,0.0
8738,11,1,1001,150,VND->FC,68.2,31332,162,FC->LMD,1679.2,0,0,0,0.0,31332,0.02,270.0,1747.4,2,1728.1,710.53,422.93,3.6,9.0,TL,5.4,0.0,0.0,0.0
8738,12,1,1005,782,VND->FC,1737.0,31332,794,FC->LMD,183.9,0,0,0,0.0,31332,0.02,270.0,1920.9,2,1728.1,710.53,422.93,3.7,9.0,TL,5.3,0.0,0.0,0.0
8738,13,1,1001,150,VND->FC,68.2,1005,155,FC->FC,1683.2,31332,794,FC->LMD,183.9,31332,0.04,270.0,1935.3,3,1728.1,710.53,422.93,4.6,9.0,LTL,4.4,0.0,0.0,0.0
8738,14,1,1001,150,VND->FC,68.2,1005,155,FC->FC,1683.2,31332,794,FC->LMD,183.9,31332,0.04,270.0,1935.3,3,1728.1,710.53,422.93,4.1,9.0,TL,4.9,0.0,0.0,0.0
8815,15,1,31334,6,VND->LMD,2479.4,0,0,0,0.0,0,0,0,0.0,31334,0.0,721.0,2479.4,1,2479.4,3605.0,2083.82,6.5,11.0,LTL,4.5,1.0,1073.41,1.0
8815,16,1,1001,150,VND->FC,68.2,31334,164,FC->LMD,2424.2,0,0,0,0.0,31334,0.02,721.0,2492.4,2,2479.4,3605.0,2083.82,7.0,11.0,LTL,4.0,0.0,0.0,0.0
8815,17,1,1004,624,VND->FC,2264.8,31334,638,FC->LMD,233.3,0,0,0,0.0,31334,0.02,721.0,2498.1000000000004,2,2479.4,3605.0,2083.82,5.6,11.0,LTL,5.4,0.0,0.0,0.0
8815,18,1,1005,782,VND->FC,1737.0,31334,796,FC->LMD,744.6,0,0,0,0.0,31334,0.02,721.0,2481.6,2,2479.4,3605.0,2083.82,5.7,11.0,LTL,5.3,0.0,0.0,0.0
8815,19,1,1001,150,VND->FC,68.2,31334,164,FC->LMD,2424.2,0,0,0,0.0,31334,0.02,721.0,2492.4,2,2479.4,3605.0,2083.82,4.9,11.0,TL,6.1,0.0,0.0,0.0
8815,20,1,1004,624,VND->FC,2264.8,31334,638,FC->LMD,233.3,0,0,0,0.0,31334,0.02,721.0,2498.1000000000004,2,2479.4,3605.0,2083.82,4.6,11.0,TL,6.4,0.0,0.0,0.0
8815,21,1,1005,782,VND->FC,1737.0,31334,796,FC->LMD,744.6,0,0,0,0.0,31334,0.02,721.0,2481.6,2,2479.4,3605.0,2083.82,4.6,11.0,TL,6.4,0.0,0.0,0.0
8815,22,1,1001,150,VND->FC,68.2,1004,154,FC->FC,2208.0,31334,638,FC->LMD,233.3,31334,0.04,721.0,2509.5,3,2479.4,3605.0,2083.82,6.0,11.0,LTL,5.0,0.0,0.0,0.0
8815,23,1,1001,150,VND->FC,68.2,1004,154,FC->FC,2208.0,31334,638,FC->LMD,233.3,31334,0.04,721.0,2509.5,3,2479.4,3605.0,2083.82,5.0,11.0,TL,6.0,0.0,0.0,0.0
8741,24,1,31343,15,VND->LMD,1941.7,0,0,0,0.0,0,0,0,0.0,31343,0.0,179.0,1941.7,1,1941.7,617.24,365.23,4.5,9.0,LTL,4.5,1.0,340.69,1.0
8741,25,1,1001,150,VND->FC,68.2,31343,173,FC->LMD,1879.8,0,0,0,0.0,31343,0.02,179.0,1948.0,2,1941.7,617.24,365.23,5.0,9.0,LTL,4.0,0.0,0.0,0.0
8741,26,1,1003,466,VND->FC,1942.4,31343,489,FC->LMD,142.7,0,0,0,0.0,31343,0.02,179.0,2085.1,2,1941.7,617.24,365.23,4.5,9.0,LTL,4.5,0.0,0.0,0.0
8741,27,1,1001,150,VND->FC,68.2,31343,173,FC->LMD,1879.8,0,0,0,0.0,31343,0.02,179.0,1948.0,2,1941.7,617.24,365.23,3.9,9.0,TL,5.1,0.0,0.0,0.0
8741,28,1,1003,466,VND->FC,1942.4,31343,489,FC->LMD,142.7,0,0,0,0.0,31343,0.02,179.0,2085.1,2,1941.7,617.24,365.23,4.0,9.0,TL,5.0,0.0,0.0,0.0
8741,29,1,1001,150,VND->FC,68.2,1003,153,FC->FC,1878.5,31343,489,FC->LMD,142.7,31343,0.04,179.0,2089.4,3,1941.7,617.24,365.23,4.9,9.0,LTL,4.1,0.0,0.0,0.0
8741,30,1,1001,150,VND->FC,68.2,1003,153,FC->FC,1878.5,31343,489,FC->LMD,142.7,31343,0.04,179.0,2089.4,3,1941.7,617.24,365.23,4.4,9.0,TL,4.6,0.0,0.0,0.0
8789,31,1,31347,19,VND->LMD,1677.8,0,0,0,0.0,0,0,0,0.0,31347,0.0,419.0,1677.8,1,1677.8,1904.55,1046.46,4.5,10.0,LTL,5.5,1.0,521.25,1.0
8789,32,1,1001,150,VND->FC,68.2,31347,177,FC->LMD,1610.6,0,0,0,0.0,31347,0.02,419.0,1678.8,2,1677.8,1904.55,1046.46,5.0,10.0,LTL,5.0,0.0,0.0,0.0
8789,33,1,1003,466,VND->FC,1942.4,31347,493,FC->LMD,419.6,0,0,0,0.0,31347,0.02,419.0,2362.0,2,1677.8,1904.55,1046.46,5.0,10.0,LTL,5.0,0.0,0.0,0.0
8789,34,1,1001,150,VND->FC,68.2,31347,177,FC->LMD,1610.6,0,0,0,0.0,31347,0.02,419.0,1678.8,2,1677.8,1904.55,1046.46,3.4,10.0,TL,6.6,0.0,0.0,0.0
8789,35,1,1003,466,VND->FC,1942.4,31347,493,FC->LMD,419.6,0,0,0,0.0,31347,0.02,419.0,2362.0,2,1677.8,1904.55,1046.46,4.3,10.0,TL,5.7,0.0,0.0,0.0
8789,36,1,1001,150,VND->FC,68.2,1003,153,FC->FC,1878.5,31347,493,FC->LMD,419.6,31347,0.04,419.0,2366.3,3,1677.8,1904.55,1046.46,5.4,10.0,LTL,4.6,0.0,0.0,0.0
8789,37,1,1001,150,VND->FC,68.2,1003,153,FC->FC,1878.5,31347,493,FC->LMD,419.6,31347,0.04,419.0,2366.3,3,1677.8,1904.55,1046.46,4.7,10.0,TL,5.3,0.0,0.0,0.0
8817,38,1,31349,21,VND->LMD,1939.1,0,0,0,0.0,0,0,0,0.0,31349,0.0,278.0,1939.1,1,1939.1,1263.64,957.3,4.5,10.0,LTL,5.5,1.0,439.73,1.0
8817,39,1,1001,150,VND->FC,68.2,31349,179,FC->LMD,1875.4,0,0,0,0.0,31349,0.02,278.0,1943.6,2,1939.1,1263.64,957.3,5.0,10.0,LTL,5.0,0.0,0.0,0.0
8817,40,1,1003,466,VND->FC,1942.4,31349,495,FC->LMD,13.9,0,0,0,0.0,31349,0.02,278.0,1956.3,2,1939.1,1263.64,957.3,4.5,10.0,LTL,5.5,0.0,0.0,0.0
