DEMAND_ID,ROUTE_NBR,ORIGIN_ID,DEST1,LEG1,LEG1_TYPE,LEG1_DIST,DEST2,LEG2,LEG2_TYPE,LEG2_DIST,DEST3,LEG3,LEG3_TYPE,LEG3_DIST,FINAL_DEST,HANDLING_PER_LB,WGT,DIST,LEGS,DR_DIST,SALES,COGS,FIXED,LT_UPPER_BD,TRANS_MODE,W_HAT,DR_MODE,DR_COST,DR_FREQ
5349,1,3,31329,1571,VND->LMD,938.9,0,0,0,0.0,0,0,0,0.0,31329,0.0,4288.0,938.9,1,938.9,13400.0,7745.66,2.5,9.0,LTL,6.5,0.0,1942.35,1.0
5349,2,3,1001,1720,VND->FC,380.9,31329,159,FC->LMD,822.8,0,0,0,0.0,31329,0.02,4288.0,1203.6999999999998,2,938.9,13400.0,7745.66,3.2,9.0,LTL,5.8,0.0,0.0,0.0
5349,3,3,1002,1721,VND->FC,1440.3,31329,317,FC->LMD,609.5,0,0,0,0.0,31329,0.02,4288.0,2049.8,2,938.9,13400.0,7745.66,4.1,9.0,LTL,4.9,0.0,0.0,0.0
5349,4,3,1001,1720,VND->FC,380.9,31329,159,FC->LMD,822.8,0,0,0,0.0,31329,0.02,4288.0,1203.6999999999998,2,938.9,13400.0,7745.66,2.2,9.0,TL,6.8,0.0,0.0,0.0
5349,5,3,1002,1721,VND->FC,1440.3,31329,317,FC->LMD,609.5,0,0,0,0.0,31329,0.02,4288.0,2049.8,2,938.9,13400.0,7745.66,3.7,9.0,TL,5.3,0.0,0.0,0.0
5349,6,3,1001,1720,VND->FC,380.9,1002,152,FC->FC,1192.3,31329,317,FC->LMD,609.5,31329,0.04,4288.0,2182.7,3,938.9,13400.0,7745.66,4.4,9.0,LTL,4.6,0.0,0.0,0.0
5349,7,3,1001,1720,VND->FC,380.9,1002,152,FC->FC,1192.3,31329,317,FC->LMD,609.5,31329,0.04,4288.0,2182.7,3,938.9,13400.0,7745.66,4.0,9.0,TL,5.0,0.0,0.0,0.0
5350,8,3,31334,1576,VND->LMD,2527.4,0,0,0,0.0,0,0,0,0.0,31334,0.0,1693.0,2527.4,1,2527.4,1282.58,878.48,6.5,11.0,LTL,4.5,1.0,2292.94,1.0
5350,9,3,1001,1720,VND->FC,380.9,31334,164,FC->LMD,2424.2,0,0,0,0.0,31334,0.02,1693.0,2805.1,2,2527.4,1282.58,878.48,7.2,11.0,LTL,3.8,0.0,0.0,0.0
5350,10,3,1004,1723,VND->FC,2328.3,31334,638,FC->LMD,233.3,0,0,0,0.0,31334,0.02,1693.0,2561.6000000000004,2,2527.4,1282.58,878.48,5.7,11.0,LTL,5.3,0.0,0.0,0.0
