DEMAND_ID,ROUTE_NBR,ORIGIN_ID,DEST1,LEG1,LEG1_TYPE,LEG1_DIST,DEST2,LEG2,LEG2_TYPE,LEG2_DIST,DEST3,LEG3,LEG3_TYPE,LEG3_DIST,FINAL_DEST,HANDLING_PER_LB,WGT,DIST,LEGS,DR_DIST,SALES,COGS,FIXED,LT_UPPER_BD,TRANS_MODE,W_HAT,DR_MODE,DR_COST,DR_FREQ
103,1,22,31333,4558,VND->LMD,647.4,0,0,0,0.0,0,0,0,0.0,31333,0.0,1292.0,647.4,1,647.4,5168.0,2381.57,1.5,8.0,LTL,6.5,1.0,713.37,1.0
103,2,22,1003,4705,VND->FC,181.9,31333,479,FC->LMD,744.6,0,0,0,0.0,31333,0.02,1292.0,926.5,2,647.4,5168.0,2381.57,3.0,8.0,LTL,5.0,0.0,0.0,0.0
103,3,22,1004,4706,VND->FC,487.5,31333,637,FC->LMD,197.9,0,0,0,0.0,31333,0.02,1292.0,685.4,2,647.4,5168.0,2381.57,1.9,8.0,LTL,6.1,0.0,0.0,0.0
103,4,22,1003,4705,VND->FC,181.9,31333,479,FC->LMD,744.6,0,0,0,0.0,31333,0.02,1292.0,926.5,2,647.4,5168.0,2381.57,1.7,8.0,TL,6.3,0.0,0.0,0.0
103,5,22,1004,4706,VND->FC,487.5,31333,637,FC->LMD,197.9,0,0,0,0.0,31333,0.02,1292.0,685.4,2,647.4,5168.0,2381.57,1.2,8.0,TL,6.8,0.0,0.0,0.0
103,6,22,1003,4705,VND->FC,181.9,1004,470,FC->FC,559.5,31333,637,FC->LMD,197.9,31333,0.04,1292.0,939.3,3,647.4,5168.0,2381.57,2.5,8.0,LTL,5.5,0.0,0.0,0.0
103,7,22,1003,4705,VND->FC,181.9,1004,470,FC->FC,559.5,31333,637,FC->LMD,197.9,31333,0.04,1292.0,939.3,3,647.4,5168.0,2381.57,1.7,8.0,TL,6.3,0.0,0.0,0.0
110,8,22,31334,4559,VND->LMD,675.5,0,0,0,0.0,0,0,0,0.0,31334,0.0,2212.0,675.5,1,675.5,4173.58,2129.38,2.5,8.0,LTL,5.5,2.0,1085.28,1.0
110,9,22,1003,4705,VND->FC,181.9,31334,480,FC->LMD,776.8,0,0,0,0.0,31334,0.02,2212.0,958.7,2,675.5,4173.58,2129.38,3.0,8.0,LTL,5.0,0.0,0.0,0.0
110,10,22,1004,4706,VND->FC,487.5,31334,638,FC->LMD,233.3,0,0,0,0.0,31334,0.02,2212.0,720.8,2,675.5,4173.58,2129.38,2.4,8.0,LTL,5.6,0.0,0.0,0.0
110,11,22,1003,4705,VND->FC,181.9,31334,480,FC->LMD,776.8,0,0,0,0.0,31334,0.02,2212.0,958.7,2,675.5,4173.58,2129.38,1.7,8.0,TL,6.3,0.0,0.0,0.0
110,12,22,1004,4706,VND->FC,487.5,31334,638,FC->LMD,233.3,0,0,0,0.0,31334,0.02,2212.0,720.8,2,675.5,4173.58,2129.38,1.3,8.0,TL,6.7,0.0,0.0,0.0
110,13,22,1003,4705,VND->FC,181.9,1004,470,FC->FC,559.5,31334,638,FC->LMD,233.3,31334,0.04,2212.0,974.7,3,675.5,4173.58,2129.38,3.0,8.0,LTL,5.0,0.0,0.0,0.0
110,14,22,1003,4705,VND->FC,181.9,1004,470,FC->FC,559.5,31334,638,FC->LMD,233.3,31334,0.04,2212.0,974.7,3,675.5,4173.58,2129.38,1.8,8.0,TL,6.2,0.0,0.0,0.0
111,15,22,31346,4571,VND->LMD,511.7,0,0,0,0.0,0,0,0,0.0,31346,0.0,1087.0,511.7,1,511.7,2717.5,1787.83,1.5,8.0,LTL,6.5,1.0,545.49,1.0
111,16,22,1003,4705,VND->FC,181.9,31346,492,FC->LMD,538.2,0,0,0,0.0,31346,0.02,1087.0,720.1,2,511.7,2717.5,1787.83,2.0,8.0,LTL,6.0,0.0,0.0,0.0
111,17,22,1004,4706,VND->FC,487.5,31346,650,FC->LMD,135.9,0,0,0,0.0,31346,0.02,1087.0,623.4,2,511.7,2717.5,1787.83,1.9,8.0,LTL,6.1,0.0,0.0,0.0
111,18,22,1003,4705,VND->FC,181.9,31346,492,FC->LMD,538.2,0,0,0,0.0,31346,0.02,1087.0,720.1,2,511.7,2717.5,1787.83,1.3,8.0,TL,6.7,0.0,0.0,0.0
111,19,22,1004,4706,VND->FC,487.5,31346,650,FC->LMD,135.9,0,0,0,0.0,31346,0.02,1087.0,623.4,2,511.7,2717.5,1787.83,1.1,8.0,TL,6.9,0.0,0.0,0.0
111,20,22,1003,4705,VND->FC,181.9,1004,470,FC->FC,559.5,31346,650,FC->LMD,135.9,31346,0.04,1087.0,877.3,3,511.7,2717.5,1787.83,2.5,8.0,LTL,5.5,0.0,0.0,0.0
111,21,22,1003,4705,VND->FC,181.9,1004,470,FC->FC,559.5,31346,650,FC->LMD,135.9,31346,0.04,1087.0,877.3,3,511.7,2717.5,1787.83,1.6,8.0,TL,6.4,0.0,0.0,0.0
112,22,22,31349,4574,VND->LMD,185.0,0,0,0,0.0,0,0,0,0.0,31349,0.0,1611.0,185.0,1,185.0,3427.66,2183.22,1.0,5.0,LTL,4.0,1.0,545.12,1.0
112,23,22,1003,4705,VND->FC,181.9,31349,495,FC->LMD,13.9,0,0,0,0.0,31349,0.02,1611.0,195.8,2,185.0,3427.66,2183.22,1.5,5.0,LTL,3.5,0.0,0.0,0.0
