demandID,pathID,originID,dest1,arc1,arc1_type,arc1_dist,dest2,arc2,arc2_type,arc2_dist,dest3,arc3,arc3_type,arc3_dist,finalDest,varCost,wgt,pathDist,arcs,directDist,sales,cogs,fixedTT,current_ODT,transitMode,w_hat,dirMode,dirCost,dirFreq
17929,1,2,31332,1417,VND->LMD,1692.5,0,0,0,0.0,0,0,0,0.0,31332,0.0,152.0,1692.5,1,1692.5,262.07,60.66,4.5,10.0,LTL,5.5,1.0,282.71,1.0
17929,2,2,1001,1563,VND->FC,20.7,31332,162,FC->LMD,1679.2,0,0,0,0.0,31332,0.02,152.0,1699.9,2,1692.5,262.07,60.66,5.0,10.0,LTL,5.0,0.0,0.0,0.0
17929,3,2,1005,1567,VND->FC,1694.7,31332,794,FC->LMD,183.9,0,0,0,0.0,31332,0.02,152.0,1878.6,2,1692.5,262.07,60.66,4.1,10.0,LTL,5.9,0.0,0.0,0.0
17929,4,2,1001,1563,VND->FC,20.7,31332,162,FC->LMD,1679.2,0,0,0,0.0,31332,0.02,152.0,1699.9,2,1692.5,262.07,60.66,3.6,10.0,TL,6.4,0.0,0.0,0.0
17929,5,2,1005,1567,VND->FC,1694.7,31332,794,FC->LMD,183.9,0,0,0,0.0,31332,0.02,152.0,1878.6,2,1692.5,262.07,60.66,3.6,10.0,TL,6.4,0.0,0.0,0.0
17929,6,2,1001,1563,VND->FC,20.7,1005,155,FC->FC,1683.2,31332,794,FC->LMD,183.9,31332,0.04,152.0,1887.8,3,1692.5,262.07,60.66,4.6,10.0,LTL,5.4,0.0,0.0,0.0
17929,7,2,1001,1563,VND->FC,20.7,1005,155,FC->FC,1683.2,31332,794,FC->LMD,183.9,31332,0.04,152.0,1887.8,3,1692.5,262.07,60.66,4.1,10.0,TL,5.9,0.0,0.0,0.0
17930,8,2,31335,1420,VND->LMD,2093.6,0,0,0,0.0,0,0,0,0.0,31335,0.0,652.0,2093.6,1,2093.6,1671.79,1129.59,5.5,11.0,LTL,5.5,1.0,865.0,1.0
17930,9,2,1001,1563,VND->FC,20.7,31335,165,FC->LMD,2091.8,0,0,0,0.0,31335,0.02,652.0,2112.5,2,2093.6,1671.79,1129.59,6.0,11.0,LTL,5.0,0.0,0.0,0.0
17930,10,2,1003,1565,VND->FC,1884.2,31335,481,FC->LMD,418.7,0,0,0,0.0,31335,0.02,652.0,2302.9,2,2093.6,1671.79,1129.59,4.9,11.0,LTL,6.1,0.0,0.0,0.0
17930,11,2,1002,1564,VND->FC,1195.7,31335,323,FC->LMD,906.7,0,0,0,0.0,31335,0.02,652.0,2102.4,2,2093.6,1671.79,1129.59,4.7,11.0,LTL,6.3,0.0,0.0,0.0
17930,12,2,1001,1563,VND->FC,20.7,31335,165,FC->LMD,2091.8,0,0,0,0.0,31335,0.02,652.0,2112.5,2,2093.6,1671.79,1129.59,4.3,11.0,TL,6.7,0.0,0.0,0.0
