DEMAND_ID,ROUTE_NBR,ORIGIN_ID,DEST1,LEG1,LEG1_TYPE,LEG1_DIST,DEST2,LEG2,LEG2_TYPE,LEG2_DIST,DEST3,LEG3,LEG3_TYPE,LEG3_DIST,FINAL_DEST,HANDLING_PER_LB,WGT,DIST,LEGS,DR_DIST,SALES,COGS,FIXED,LT_UPPER_BD,TRANS_MODE,W_HAT,DR_MODE,DR_COST,DR_FREQ
72,1,29,31334,5658,VND->LMD,675.1,0,0,0,0.0,0,0,0,0.0,31334,0.0,5725.0,675.1,1,675.1,9233.87,4859.93,2.5,8.0,LTL,5.5,0.0,1607.36,1.0
72,2,29,1003,5804,VND->FC,317.6,31334,480,FC->LMD,776.8,0,0,0,0.0,31334,0.02,5725.0,1094.4,2,675.1,9233.87,4859.93,3.1,8.0,LTL,4.9,0.0,0.0,0.0
72,3,29,1004,5805,VND->FC,443.8,31334,638,FC->LMD,233.3,0,0,0,0.0,31334,0.02,5725.0,677.1,2,675.1,9233.87,4859.93,2.3,8.0,LTL,5.7,0.0,0.0,0.0
72,4,29,1003,5804,VND->FC,317.6,31334,480,FC->LMD,776.8,0,0,0,0.0,31334,0.02,5725.0,1094.4,2,675.1,9233.87,4859.93,2.0,8.0,TL,6.0,0.0,0.0,0.0
72,5,29,1004,5805,VND->FC,443.8,31334,638,FC->LMD,233.3,0,0,0,0.0,31334,0.02,5725.0,677.1,2,675.1,9233.87,4859.93,1.2,8.0,TL,6.8,0.0,0.0,0.0
72,6,29,1003,5804,VND->FC,317.6,1004,470,FC->FC,559.5,31334,638,FC->LMD,233.3,31334,0.04,5725.0,1110.4,3,675.1,9233.87,4859.93,3.1,8.0,LTL,4.9,0.0,0.0,0.0
72,7,29,1003,5804,VND->FC,317.6,1004,470,FC->FC,559.5,31334,638,FC->LMD,233.3,31334,0.04,5725.0,1110.4,3,675.1,9233.87,4859.93,2.0,8.0,TL,6.0,0.0,0.0,0.0
67,8,29,31337,5661,VND->LMD,321.6,0,0,0,0.0,0,0,0,0.0,31337,0.0,574.0,321.6,1,321.6,1793.75,601.93,1.5,5.0,LTL,3.5,1.0,265.7,1.0
67,9,29,1003,5804,VND->FC,317.6,31337,483,FC->LMD,148.8,0,0,0,0.0,31337,0.02,574.0,466.4,2,321.6,1793.75,601.93,1.6,5.0,LTL,3.4,0.0,0.0,0.0
67,10,29,1003,5804,VND->FC,317.6,31337,483,FC->LMD,148.8,0,0,0,0.0,31337,0.02,574.0,466.4,2,321.6,1793.75,601.93,0.8,5.0,TL,4.2,0.0,0.0,0.0
