demandID,pathID,originID,dest1,arc1,arc1_type,arc1_dist,dest2,arc2,arc2_type,arc2_dist,dest3,arc3,arc3_type,arc3_dist,finalDest,varCost,wgt,pathDist,arcs,directDist,sales,cogs,fixedTT,current_ODT,transitMode,w_hat,dirMode,dirCost,dirFreq
24145,1,2,31333,1418,VND->LMD,2400.2,0,0,0,0.0,0,0,0,0.0,31333,0.0,504.0,2400.2,1,2400.2,1800.0,1104.29,6.5,10.0,LTL,3.5,1.0,788.14,1.0
24145,2,2,1001,1563,VND->FC,20.7,31333,163,FC->LMD,2389.5,0,0,0,0.0,31333,0.02,504.0,2410.2,2,2400.2,1800.0,1104.29,6.0,10.0,LTL,4.0,0.0,0.0,0.0
24145,3,2,1004,1566,VND->FC,2218.1,31333,637,FC->LMD,197.9,0,0,0,0.0,31333,0.02,504.0,2416.0,2,2400.2,1800.0,1104.29,5.0,10.0,LTL,5.0,0.0,0.0,0.0
24145,4,2,1007,1569,VND->FC,1310.0,31333,1111,FC->LMD,1091.0,0,0,0,0.0,31333,0.02,504.0,2401.0,2,2400.2,1800.0,1104.29,5.9,10.0,LTL,4.1,0.0,0.0,0.0
24145,5,2,1001,1563,VND->FC,20.7,31333,163,FC->LMD,2389.5,0,0,0,0.0,31333,0.02,504.0,2410.2,2,2400.2,1800.0,1104.29,4.8,10.0,TL,5.2,0.0,0.0,0.0
24145,6,2,1004,1566,VND->FC,2218.1,31333,637,FC->LMD,197.9,0,0,0,0.0,31333,0.02,504.0,2416.0,2,2400.2,1800.0,1104.29,4.5,10.0,TL,5.5,0.0,0.0,0.0
24145,7,2,1007,1569,VND->FC,1310.0,31333,1111,FC->LMD,1091.0,0,0,0,0.0,31333,0.02,504.0,2401.0,2,2400.2,1800.0,1104.29,4.4,10.0,TL,5.6,0.0,0.0,0.0
24145,8,2,1001,1563,VND->FC,20.7,1004,154,FC->FC,2208.0,31333,637,FC->LMD,197.9,31333,0.04,504.0,2426.6,3,2400.2,1800.0,1104.29,5.5,10.0,LTL,4.5,0.0,0.0,0.0
24145,9,2,1001,1563,VND->FC,20.7,1004,154,FC->FC,2208.0,31333,637,FC->LMD,197.9,31333,0.04,504.0,2426.6,3,2400.2,1800.0,1104.29,5.0,10.0,TL,5.0,0.0,0.0,0.0
24178,10,2,31334,1419,VND->LMD,2435.0,0,0,0,0.0,0,0,0,0.0,31334,0.0,2121.0,2435.0,1,2435.0,3856.36,1987.81,6.5,11.0,LTL,4.5,2.0,2593.68,1.0
