DEMAND_ID,ROUTE_NBR,ORIGIN_ID,DEST1,LEG1,LEG1_TYPE,LEG1_DIST,DEST2,LEG2,LEG2_TYPE,LEG2_DIST,DEST3,LEG3,LEG3_TYPE,LEG3_DIST,FINAL_DEST,HANDLING_PER_LB,WGT,DIST,LEGS,DR_DIST,SALES,COGS,FIXED,LT_UPPER_BD,TRANS_MODE,W_HAT,DR_MODE,DR_COST,DR_FREQ
1501,1,9,31333,2517,VND->LMD,938.8,0,0,0,0.0,0,0,0,0.0,31333,0.0,1043.0,938.8,1,938.8,3259.38,2102.83,2.5,8.0,LTL,5.5,1.0,730.2,1.0
1501,2,9,1003,2664,VND->FC,405.7,31333,479,FC->LMD,744.6,0,0,0,0.0,31333,0.02,1043.0,1150.3,2,938.8,3259.38,2102.83,3.2,8.0,LTL,4.8,0.0,0.0,0.0
1501,3,9,1004,2665,VND->FC,804.2,31333,637,FC->LMD,197.9,0,0,0,0.0,31333,0.02,1043.0,1002.1,2,938.8,3259.38,2102.83,2.5,8.0,LTL,5.5,0.0,0.0,0.0
1501,4,9,1003,2664,VND->FC,405.7,31333,479,FC->LMD,744.6,0,0,0,0.0,31333,0.02,1043.0,1150.3,2,938.8,3259.38,2102.83,2.1,8.0,TL,5.9,0.0,0.0,0.0
1501,5,9,1004,2665,VND->FC,804.2,31333,637,FC->LMD,197.9,0,0,0,0.0,31333,0.02,1043.0,1002.1,2,938.8,3259.38,2102.83,1.8,8.0,TL,6.2,0.0,0.0,0.0
1501,6,9,1003,2664,VND->FC,405.7,1004,470,FC->FC,559.5,31333,637,FC->LMD,197.9,31333,0.04,1043.0,1163.1,3,938.8,3259.38,2102.83,2.7,8.0,LTL,5.3,0.0,0.0,0.0
1501,7,9,1003,2664,VND->FC,405.7,1004,470,FC->FC,559.5,31333,637,FC->LMD,197.9,31333,0.04,1043.0,1163.1,3,938.8,3259.38,2102.83,2.1,8.0,TL,5.9,0.0,0.0,0.0
1482,8,9,31343,2527,VND->LMD,527.2,0,0,0,0.0,0,0,0,0.0,31343,0.0,374.0,527.2,1,527.2,1335.71,678.03,1.5,5.0,LTL,3.5,1.0,236.89,1.0
1482,9,9,1003,2664,VND->FC,405.7,31343,489,FC->LMD,142.7,0,0,0,0.0,31343,0.02,374.0,548.4,2,527.2,1335.71,678.03,1.7,5.0,LTL,3.3,0.0,0.0,0.0
1482,10,9,1003,2664,VND->FC,405.7,31343,489,FC->LMD,142.7,0,0,0,0.0,31343,0.02,374.0,548.4,2,527.2,1335.71,678.03,1.0,5.0,TL,4.0,0.0,0.0,0.0
