demandID,pathID,originID,dest1,arc1,arc1_type,arc1_dist,dest2,arc2,arc2_type,arc2_dist,dest3,arc3,arc3_type,arc3_dist,finalDest,varCost,wgt,pathDist,arcs,directDist,sales,cogs,fixedTT,current_ODT,transitMode,w_hat,dirMode,dirCost,dirFreq
18642,1,2,31329,1414,VND->LMD,835.6,0,0,0,0.0,0,0,0,0.0,31329,0.0,3812.0,835.6,1,835.6,12706.67,10084.66,2.5,7.0,LTL,4.5,3.0,1726.14,1.0
18642,2,2,1001,1563,VND->FC,20.7,31329,159,FC->LMD,822.8,0,0,0,0.0,31329,0.02,3812.0,843.5,2,835.6,12706.67,10084.66,3.0,7.0,LTL,4.0,0.0,0.0,0.0
18642,3,2,1006,1568,VND->FC,564.5,31329,949,FC->LMD,430.6,0,0,0,0.0,31329,0.02,3812.0,995.1,2,835.6,12706.67,10084.66,2.5,7.0,LTL,4.5,0.0,0.0,0.0
18642,4,2,1001,1563,VND->FC,20.7,31329,159,FC->LMD,822.8,0,0,0,0.0,31329,0.02,3812.0,843.5,2,835.6,12706.67,10084.66,2.0,7.0,TL,5.0,0.0,0.0,0.0
18642,5,2,1006,1568,VND->FC,564.5,31329,949,FC->LMD,430.6,0,0,0,0.0,31329,0.02,3812.0,995.1,2,835.6,12706.67,10084.66,1.8,7.0,TL,5.2,0.0,0.0,0.0
18642,6,2,1001,1563,VND->FC,20.7,1006,156,FC->FC,545.5,31329,949,FC->LMD,430.6,31329,0.04,3812.0,996.8,3,835.6,12706.67,10084.66,3.0,7.0,LTL,4.0,0.0,0.0,0.0
18642,7,2,1001,1563,VND->FC,20.7,1006,156,FC->FC,545.5,31329,949,FC->LMD,430.6,31329,0.04,3812.0,996.8,3,835.6,12706.67,10084.66,2.3,7.0,TL,4.7,0.0,0.0,0.0
18566,8,2,31332,1417,VND->LMD,1692.5,0,0,0,0.0,0,0,0,0.0,31332,0.0,631.0,1692.5,1,1692.5,2103.33,1322.85,4.5,10.0,LTL,5.5,1.0,716.73,1.0
18566,9,2,1001,1563,VND->FC,20.7,31332,162,FC->LMD,1679.2,0,0,0,0.0,31332,0.02,631.0,1699.9,2,1692.5,2103.33,1322.85,5.0,10.0,LTL,5.0,0.0,0.0,0.0
18566,10,2,1005,1567,VND->FC,1694.7,31332,794,FC->LMD,183.9,0,0,0,0.0,31332,0.02,631.0,1878.6,2,1692.5,2103.33,1322.85,4.1,10.0,LTL,5.9,0.0,0.0,0.0
