demandID,pathID,originID,dest1,arc1,arc1_type,arc1_dist,dest2,arc2,arc2_type,arc2_dist,dest3,arc3,arc3_type,arc3_dist,finalDest,handling_per_lb,wgt,pathDist,arcCt,directDist,sales,cogs,fixedTT,current_ODT,transitMode,w_hat,dirMode,dirCost,dirFreq
16725,1,1,31329,1,VND->LMD,874.2,0,0,0,0.0,0,0,0,0.0,31329,0.0,792.0,874.2,1,874.2,1721.74,1187.41,2.5,8.0,LTL,5.5,1.0,553.4,1.0
16725,2,1,1001,150,VND->FC,68.2,31329,159,FC->LMD,822.8,0,0,0,0.0,31329,0.02,792.0,891.0,2,874.2,1721.74,1187.41,3.0,8.0,LTL,5.0,0.0,0.0,0.0
16725,3,1,1006,940,VND->FC,571.0,31329,949,FC->LMD,430.6,0,0,0,0.0,31329,0.02,792.0,1001.6,2,874.2,1721.74,1187.41,2.5,8.0,LTL,5.5,0.0,0.0,0.0
16725,4,1,1001,150,VND->FC,68.2,31329,159,FC->LMD,822.8,0,0,0,0.0,31329,0.02,792.0,891.0,2,874.2,1721.74,1187.41,2.0,8.0,TL,6.0,0.0,0.0,0.0
16725,5,1,1006,940,VND->FC,571.0,31329,949,FC->LMD,430.6,0,0,0,0.0,31329,0.02,792.0,1001.6,2,874.2,1721.74,1187.41,1.8,8.0,TL,6.2,0.0,0.0,0.0
16725,6,1,1001,150,VND->FC,68.2,1006,156,FC->FC,545.5,31329,949,FC->LMD,430.6,31329,0.04,792.0,1044.3000000000002,3,874.2,1721.74,1187.41,3.0,8.0,LTL,5.0,0.0,0.0,0.0
16725,7,1,1001,150,VND->FC,68.2,1006,156,FC->FC,545.5,31329,949,FC->LMD,430.6,31329,0.04,792.0,1044.3000000000002,3,874.2,1721.74,1187.41,2.3,8.0,TL,5.7,0.0,0.0,0.0
16633,8,1,31330,2,VND->LMD,1544.5,0,0,0,0.0,0,0,0,0.0,31330,0.0,189.0,1544.5,1,1544.5,700.0,374.33,4.5,10.0,LTL,5.5,1.0,295.73,1.0
16633,9,1,1001,150,VND->FC,68.2,31330,160,FC->LMD,1492.6,0,0,0,0.0,31330,0.02,189.0,1560.8,2,1544.5,700.0,374.33,4.0,10.0,LTL,6.0,0.0,0.0,0.0
16633,10,1,1005,782,VND->FC,1737.0,31330,792,FC->LMD,204.3,0,0,0,0.0,31330,0.02,189.0,1941.3,2,1544.5,700.0,374.33,4.2,10.0,LTL,5.8,0.0,0.0,0.0
16633,11,1,1001,150,VND->FC,68.2,31330,160,FC->LMD,1492.6,0,0,0,0.0,31330,0.02,189.0,1560.8,2,1544.5,700.0,374.33,3.2,10.0,TL,6.8,0.0,0.0,0.0
16633,12,1,1005,782,VND->FC,1737.0,31330,792,FC->LMD,204.3,0,0,0,0.0,31330,0.02,189.0,1941.3,2,1544.5,700.0,374.33,3.7,10.0,TL,6.3,0.0,0.0,0.0
16633,13,1,1001,150,VND->FC,68.2,1005,155,FC->FC,1683.2,31330,792,FC->LMD,204.3,31330,0.04,189.0,1955.7,3,1544.5,700.0,374.33,4.6,10.0,LTL,5.4,0.0,0.0,0.0
16633,14,1,1001,150,VND->FC,68.2,1005,155,FC->FC,1683.2,31330,792,FC->LMD,204.3,31330,0.04,189.0,1955.7,3,1544.5,700.0,374.33,4.1,10.0,TL,5.9,0.0,0.0,0.0
16634,15,1,31332,4,VND->LMD,1728.1,0,0,0,0.0,0,0,0,0.0,31332,0.0,358.0,1728.1,1,1728.1,577.42,384.95,4.5,11.0,LTL,6.5,1.0,476.66,1.0
16634,16,1,1001,150,VND->FC,68.2,31332,162,FC->LMD,1679.2,0,0,0,0.0,31332,0.02,358.0,1747.4,2,1728.1,577.42,384.95,5.0,11.0,LTL,6.0,0.0,0.0,0.0
16634,17,1,1005,782,VND->FC,1737.0,31332,794,FC->LMD,183.9,0,0,0,0.0,31332,0.02,358.0,1920.9,2,1728.1,577.42,384.95,4.2,11.0,LTL,6.8,0.0,0.0,0.0
16634,18,1,1001,150,VND->FC,68.2,31332,162,FC->LMD,1679.2,0,0,0,0.0,31332,0.02,358.0,1747.4,2,1728.1,577.42,384.95,3.6,11.0,TL,7.4,0.0,0.0,0.0
16634,19,1,1005,782,VND->FC,1737.0,31332,794,FC->LMD,183.9,0,0,0,0.0,31332,0.02,358.0,1920.9,2,1728.1,577.42,384.95,3.7,11.0,TL,7.3,0.0,0.0,0.0
16634,20,1,1001,150,VND->FC,68.2,1005,155,FC->FC,1683.2,31332,794,FC->LMD,183.9,31332,0.04,358.0,1935.3,3,1728.1,577.42,384.95,4.6,11.0,LTL,6.4,0.0,0.0,0.0
16634,21,1,1001,150,VND->FC,68.2,1005,155,FC->FC,1683.2,31332,794,FC->LMD,183.9,31332,0.04,358.0,1935.3,3,1728.1,577.42,384.95,4.1,11.0,TL,6.9,0.0,0.0,0.0
16726,22,1,31334,6,VND->LMD,2479.4,0,0,0,0.0,0,0,0,0.0,31334,0.0,212.0,2479.4,1,2479.4,1177.78,817.9,6.5,11.0,LTL,4.5,1.0,453.24,1.0
16726,23,1,1001,150,VND->FC,68.2,31334,164,FC->LMD,2424.2,0,0,0,0.0,31334,0.02,212.0,2492.4,2,2479.4,1177.78,817.9,7.0,11.0,LTL,4.0,0.0,0.0,0.0
16726,24,1,1004,624,VND->FC,2264.8,31334,638,FC->LMD,233.3,0,0,0,0.0,31334,0.02,212.0,2498.1000000000004,2,2479.4,1177.78,817.9,5.6,11.0,LTL,5.4,0.0,0.0,0.0
16726,25,1,1005,782,VND->FC,1737.0,31334,796,FC->LMD,744.6,0,0,0,0.0,31334,0.02,212.0,2481.6,2,2479.4,1177.78,817.9,5.7,11.0,LTL,5.3,0.0,0.0,0.0
16726,26,1,1001,150,VND->FC,68.2,31334,164,FC->LMD,2424.2,0,0,0,0.0,31334,0.02,212.0,2492.4,2,2479.4,1177.78,817.9,4.9,11.0,TL,6.1,0.0,0.0,0.0
16726,27,1,1004,624,VND->FC,2264.8,31334,638,FC->LMD,233.3,0,0,0,0.0,31334,0.02,212.0,2498.1000000000004,2,2479.4,1177.78,817.9,4.6,11.0,TL,6.4,0.0,0.0,0.0
16726,28,1,1005,782,VND->FC,1737.0,31334,796,FC->LMD,744.6,0,0,0,0.0,31334,0.02,212.0,2481.6,2,2479.4,1177.78,817.9,4.6,11.0,TL,6.4,0.0,0.0,0.0
16726,29,1,1001,150,VND->FC,68.2,1004,154,FC->FC,2208.0,31334,638,FC->LMD,233.3,31334,0.04,212.0,2509.5,3,2479.4,1177.78,817.9,6.0,11.0,LTL,5.0,0.0,0.0,0.0
16726,30,1,1001,150,VND->FC,68.2,1004,154,FC->FC,2208.0,31334,638,FC->LMD,233.3,31334,0.04,212.0,2509.5,3,2479.4,1177.78,817.9,5.0,11.0,TL,6.0,0.0,0.0,0.0
16638,31,1,31344,16,VND->LMD,1318.0,0,0,0,0.0,0,0,0,0.0,31344,0.0,391.0,1318.0,1,1318.0,1117.14,839.95,3.5,10.0,LTL,6.5,1.0,417.36,1.0
16638,32,1,1001,150,VND->FC,68.2,31344,174,FC->LMD,1269.5,0,0,0,0.0,31344,0.02,391.0,1337.7,2,1318.0,1117.14,839.95,4.0,10.0,LTL,6.0,0.0,0.0,0.0
16638,33,1,1007,1098,VND->FC,1356.6,31344,1122,FC->LMD,250.6,0,0,0,0.0,31344,0.02,391.0,1607.1999999999998,2,1318.0,1117.14,839.95,4.0,10.0,LTL,6.0,0.0,0.0,0.0
